pericallosal,occipital_sup,oc-temp_med-Parahip,circular_insula_ant,temporalpole,parahippocampal,front_middle,inferiortemporal,collat_transv_post,subcallosal
-0.496682486,0.242852671,0.983409626,-1.082238578,0.670913994,-0.62642311,-0.714010685,0.811701901,0.618288005,1.142394535
2.421368815,-0.296535893,1.339658407,-1.24870034,-1.046294003,0.018574556,0.059856073,1.865118379,-0.223636087,-2.039338359
1.764907342,2.771076792,0.882821735,1.337859347,-1.016429516,1.319502052,1.240670006,0.407997383,2.30871372,0.808082021
-0.696823179,1.725532135,0.203853469,-0.821875309,-0.001036961,-0.458796598,-0.51387273,-0.727421574,1.736468439,-1.98169827
0.107742406,1.495461184,0.30444136,-0.356636026,-1.344938872,-0.028798154,0.403426229,0.420613149,-0.03288766,-2.604211228
2.457394139,0.148267946,0.518190629,-0.591389793,-0.060765935,-1.573877309,-0.427146283,0.641389058,-1.657538056,-2.431290962
0.608094138,1.423883555,-0.282321338,-2.302958166,-0.852174838,0.725521151,0.153253786,-0.727421574,-0.934009539,-0.171799486
-0.212482702,1.308848079,0.928924518,-0.69809605,1.462322897,-0.480660926,2.318079329,-2.537784024,2.723098234,-1.705025845
-0.488676858,-0.672318447,0.891204059,-1.713939624,-0.956700542,-1.162099138,-1.060916473,-0.336332822,-1.223420946,0.035704833
0.968347385,-1.574707845,-0.009895799,1.508589359,-1.98702534,-0.462440653,0.246651498,-1.030199963,0.09866298,0.900306162
1.05640929,1.357418613,0.622969682,-0.181637763,0.118420986,1.611026421,2.735033401,-0.014630784,-0.124973107,1.361426872
0.956338944,0.557282971,0.547528764,0.55250129,-1.210548681,-1.056421554,-1.194341776,1.593879406,0.532780089,-1.047928834
-0.872946988,-0.375782554,1.000174274,-0.497488286,-0.344478561,-0.866930714,0.330042312,0.370150085,1.881174143,-0.390831823
-0.284533352,-0.322099332,2.052155969,-1.671257121,-0.2548851,1.374162871,0.493488309,0.288147604,0.670908261,0.715857879
1.064414918,0.171275042,-0.366144581,-0.599926293,-1.180684194,-1.034557226,0.433446922,0.546770811,-0.33545413,0.370017347
-0.012342009,0.789910266,0.308632523,-0.932849817,-0.852174838,-0.772185294,1.137265396,1.795731665,0.749838644,-0.494583983
